iid,gid,id,index,log,lat,col,row
0,120,52945,41329,145.738295,-16.912515,61,233
1,186,50974,39752,145.755273,-16.914836,124,224
2,186,50974,39752,145.755273,-16.914836,124,224
3,187,50747,39563,145.755004,-16.915094,123,223
4,187,50747,39563,145.755004,-16.915094,123,223
5,188,51201,39956,145.755543,-16.914578,125,225
6,188,51201,39956,145.755543,-16.914578,125,225
7,189,51200,39954,145.755273,-16.914578,124,225
8,189,51200,39954,145.755273,-16.914578,124,225
9,190,50972,39761,145.754734,-16.914836,122,224
10,190,50972,39761,145.754734,-16.914836,122,224
11,191,51201,39956,145.755543,-16.914578,125,225
12,191,51201,39956,145.755543,-16.914578,125,225
13,192,51153,39882,145.742607,-16.914578,77,225
14,192,51153,39882,145.742607,-16.914578,77,225
15,193,51154,39883,145.742876,-16.914578,78,225
16,193,51154,39883,145.742876,-16.914578,78,225
17,194,59342,46022,145.75689,-16.905296,130,261
18,194,59342,46022,145.75689,-16.905296,130,261
19,195,59342,46022,145.75689,-16.905296,130,261
20,195,59342,46022,145.75689,-16.905296,130,261
21,196,59568,46174,145.75689,-16.905038,130,262
22,196,59568,46174,145.75689,-16.905038,130,262
23,197,59567,46175,145.756621,-16.905038,129,262
24,197,59567,46175,145.756621,-16.905038,129,262
25,198,59567,46175,145.756621,-16.905038,129,262
26,198,59567,46175,145.756621,-16.905038,129,262
27,199,56178,43848,145.75689,-16.908906,130,247
28,199,56178,43848,145.75689,-16.908906,130,247
29,200,52284,40845,145.742876,-16.913289,78,230
30,200,52284,40845,145.742876,-16.913289,78,230
31,201,54142,42192,145.756351,-16.911226,128,238
32,201,54142,42192,145.756351,-16.911226,128,238
33,202,54369,42368,145.756621,-16.910968,129,239
34,202,54369,42368,145.756621,-16.910968,129,239
35,203,56174,43742,145.755812,-16.908906,126,247
36,203,56174,43742,145.755812,-16.908906,126,247
37,204,56174,43742,145.755812,-16.908906,126,247
38,204,56174,43742,145.755812,-16.908906,126,247
39,205,56400,43910,145.755812,-16.908648,126,248
40,205,56400,43910,145.755812,-16.908648,126,248
41,206,56400,43910,145.755812,-16.908648,126,248
42,206,56400,43910,145.755812,-16.908648,126,248
43,207,56174,43742,145.755812,-16.908906,126,247
44,207,56174,43742,145.755812,-16.908906,126,247
45,208,56175,43748,145.756082,-16.908906,127,247
46,208,56175,43748,145.756082,-16.908906,127,247
47,209,55948,43575,145.755812,-16.909163,126,246
48,209,55948,43575,145.755812,-16.909163,126,246
49,210,56174,43742,145.755812,-16.908906,126,247
50,210,56174,43742,145.755812,-16.908906,126,247
51,211,58205,45190,145.755004,-16.906585,123,256
52,211,58205,45190,145.755004,-16.906585,123,256
53,212,55273,43079,145.756621,-16.909937,129,243
54,212,55273,43079,145.756621,-16.909937,129,243
55,213,55048,42889,145.75689,-16.910195,130,242
56,213,55048,42889,145.75689,-16.910195,130,242
57,214,59557,46128,145.753926,-16.905038,119,262
58,214,59557,46128,145.753926,-16.905038,119,262
59,215,56852,44240,145.755812,-16.908132,126,250
60,215,56852,44240,145.755812,-16.908132,126,250
61,216,60005,46442,145.752848,-16.904522,115,264
62,216,60005,46442,145.752848,-16.904522,115,264
63,217,59780,46287,145.753117,-16.90478,116,263
64,217,59780,46287,145.753117,-16.90478,116,263
65,218,56179,43846,145.75716,-16.908906,131,247
66,218,56179,43846,145.75716,-16.908906,131,247
67,219,55729,43516,145.757699,-16.909421,133,245
68,219,55729,43516,145.757699,-16.909421,133,245
69,220,55278,43177,145.757968,-16.909937,134,243
70,220,55278,43177,145.757968,-16.909937,134,243
71,221,55279,43175,145.758238,-16.909937,135,243
72,221,55279,43175,145.758238,-16.909937,135,243
73,222,55279,43175,145.758238,-16.909937,135,243
74,222,55279,43175,145.758238,-16.909937,135,243
75,223,55279,43175,145.758238,-16.909937,135,243
76,223,55279,43175,145.758238,-16.909937,135,243
77,224,55279,43175,145.758238,-16.909937,135,243
78,224,55279,43175,145.758238,-16.909937,135,243
79,225,55726,43415,145.75689,-16.909421,130,245
80,225,55726,43415,145.75689,-16.909421,130,245
81,226,55725,43417,145.756621,-16.909421,129,245
82,226,55725,43417,145.756621,-16.909421,129,245
83,227,55950,43582,145.756351,-16.909163,128,246
84,227,55950,43582,145.756351,-16.909163,128,246
85,228,54596,42544,145.75689,-16.91071,130,240
86,228,54596,42544,145.75689,-16.91071,130,240
87,229,55723,43404,145.756082,-16.909421,127,245
88,229,55723,43404,145.756082,-16.909421,127,245
89,230,55723,43404,145.756082,-16.909421,127,245
90,230,55723,43404,145.756082,-16.909421,127,245
91,231,60235,46590,145.753926,-16.904264,119,265
92,231,60235,46590,145.753926,-16.904264,119,265
93,232,59114,45869,145.756351,-16.905554,128,260
94,232,59114,45869,145.756351,-16.905554,128,260
95,233,60018,46494,145.756351,-16.904522,128,264
96,233,60018,46494,145.756351,-16.904522,128,264
97,234,60018,46494,145.756351,-16.904522,128,264
98,234,60018,46494,145.756351,-16.904522,128,264
99,235,52267,40787,145.738295,-16.913289,61,230
100,235,52267,40787,145.738295,-16.913289,61,230
101,236,52267,40787,145.738295,-16.913289,61,230
102,236,52267,40787,145.738295,-16.913289,61,230
103,237,52271,40777,145.739373,-16.913289,65,230
104,237,52271,40777,145.739373,-16.913289,65,230
105,238,55279,43175,145.758238,-16.909937,135,243
106,238,55279,43175,145.758238,-16.909937,135,243
107,239,56402,43915,145.756351,-16.908648,128,248
108,239,56402,43915,145.756351,-16.908648,128,248
109,240,56401,43912,145.756082,-16.908648,127,248
110,240,56401,43912,145.756082,-16.908648,127,248
111,241,56402,43915,145.756351,-16.908648,128,248
112,241,56402,43915,145.756351,-16.908648,128,248
113,242,56402,43915,145.756351,-16.908648,128,248
114,242,56402,43915,145.756351,-16.908648,128,248
115,243,56176,43749,145.756351,-16.908906,128,247
116,243,56176,43749,145.756351,-16.908906,128,247
117,244,56175,43748,145.756082,-16.908906,127,247
118,244,56175,43748,145.756082,-16.908906,127,247
119,245,55278,43177,145.757968,-16.909937,134,243
120,245,55278,43177,145.757968,-16.909937,134,243
121,246,56401,43912,145.756082,-16.908648,127,248
122,246,56401,43912,145.756082,-16.908648,127,248
123,247,60000,46437,145.7515,-16.904522,110,264
124,247,60000,46437,145.7515,-16.904522,110,264
125,248,57529,44712,145.755543,-16.907358,125,253
126,248,57529,44712,145.755543,-16.907358,125,253
127,249,57528,44711,145.755273,-16.907358,124,253
128,249,57528,44711,145.755273,-16.907358,124,253
129,250,57529,44712,145.755543,-16.907358,125,253
130,250,57529,44712,145.755543,-16.907358,125,253
131,251,57755,44870,145.755543,-16.907101,125,254
132,251,57755,44870,145.755543,-16.907101,125,254
133,252,57755,44870,145.755543,-16.907101,125,254
134,252,57755,44870,145.755543,-16.907101,125,254
135,253,57755,44870,145.755543,-16.907101,125,254
136,253,57755,44870,145.755543,-16.907101,125,254
137,254,57529,44712,145.755543,-16.907358,125,253
138,254,57529,44712,145.755543,-16.907358,125,253
139,255,57529,44712,145.755543,-16.907358,125,253
140,255,57529,44712,145.755543,-16.907358,125,253
141,256,57529,44712,145.755543,-16.907358,125,253
142,256,57529,44712,145.755543,-16.907358,125,253
143,257,57754,44869,145.755273,-16.907101,124,254
144,257,57754,44869,145.755273,-16.907101,124,254
145,258,57528,44711,145.755273,-16.907358,124,253
146,258,57528,44711,145.755273,-16.907358,124,253
147,259,57528,44711,145.755273,-16.907358,124,253
148,259,57528,44711,145.755273,-16.907358,124,253
149,260,57529,44712,145.755543,-16.907358,125,253
150,260,57529,44712,145.755543,-16.907358,125,253
151,261,57529,44712,145.755543,-16.907358,125,253
152,261,57529,44712,145.755543,-16.907358,125,253
153,261,57529,44712,145.755543,-16.907358,125,253
154,261,57529,44712,145.755543,-16.907358,125,253
155,261,57529,44712,145.755543,-16.907358,125,253
156,261,57529,44712,145.755543,-16.907358,125,253
157,262,57529,44712,145.755543,-16.907358,125,253
