index,cellID,mos,col,row
0,499,1,47,1
1,500,1,48,1
2,495,1,43,1
3,494,1,42,1
4,496,1,44,1
5,497,1,45,1
6,498,1,46,1
7,493,1,41,1
8,728,1,50,2
9,725,1,47,2
10,727,1,49,2
11,721,1,43,2
12,720,1,42,2
13,722,1,44,2
14,726,1,48,2
15,723,1,45,2
16,724,1,46,2
17,950,1,46,3
18,954,1,50,3
19,953,1,49,3
20,951,1,47,3
21,952,1,48,3
22,948,1,44,3
23,947,1,43,3
24,949,1,45,3
25,946,1,42,3
26,1180,1,50,4
27,1179,1,49,4
28,1177,1,47,4
29,1178,1,48,4
30,1176,1,46,4
31,1174,1,44,4
32,1172,1,42,4
33,1173,1,43,4
34,1175,1,45,4
35,1171,1,41,4
36,1405,1,49,5
37,1403,1,47,5
38,1404,1,48,5
39,1406,1,50,5
40,1402,1,46,5
41,1397,1,41,5
42,1401,1,45,5
43,1400,1,44,5
44,1398,1,42,5
45,1399,1,43,5
46,1631,1,49,6
47,1630,1,48,6
48,1629,1,47,6
49,1632,1,50,6
50,1628,1,46,6
51,1627,1,45,6
52,1626,1,44,6
53,1625,1,43,6
54,1624,1,42,6
55,1858,1,50,7
56,1857,1,49,7
57,1856,1,48,7
58,1855,1,47,7
59,1852,1,44,7
60,1853,1,45,7
61,1854,1,46,7
62,1851,1,43,7
63,2082,1,48,8
64,2083,1,49,8
65,2084,1,50,8
66,2081,1,47,8
67,2078,1,44,8
68,2077,1,43,8
69,2079,1,45,8
70,2080,1,46,8
71,2308,1,48,9
72,2309,1,49,9
73,2310,1,50,9
74,2307,1,47,9
75,2311,1,51,9
76,2302,1,42,9
77,2306,1,46,9
78,2303,1,43,9
79,2304,1,44,9
80,2305,1,45,9
81,2536,1,50,10
82,2535,1,49,10
83,2534,1,48,10
84,2537,1,51,10
85,2528,1,42,10
86,2533,1,47,10
87,2531,1,45,10
88,2529,1,43,10
89,2532,1,46,10
90,2530,1,44,10
91,2763,1,51,11
92,2762,1,50,11
93,2760,1,48,11
94,2761,1,49,11
95,2756,1,44,11
96,2755,1,43,11
97,2759,1,47,11
98,2753,1,41,11
99,2754,1,42,11
100,2757,1,45,11
101,2758,1,46,11
102,2989,1,51,12
103,2988,1,50,12
104,2986,1,48,12
105,2987,1,49,12
106,2985,1,47,12
107,2984,1,46,12
108,2981,1,43,12
109,2982,1,44,12
110,2983,1,45,12
111,2980,1,42,12
112,2979,1,41,12
113,3212,1,48,13
114,3214,1,50,13
115,3213,1,49,13
116,3215,1,51,13
117,3205,1,41,13
118,3209,1,45,13
119,3208,1,44,13
120,3206,1,42,13
121,3210,1,46,13
122,3211,1,47,13
123,3207,1,43,13
124,3438,1,48,14
125,3439,1,49,14
126,3441,1,51,14
127,3437,1,47,14
128,3440,1,50,14
129,3434,1,44,14
130,3433,1,43,14
131,3436,1,46,14
132,3435,1,45,14
133,3432,1,42,14
134,3428,1,38,14
135,3429,1,39,14
136,3431,1,41,14
137,3430,1,40,14
138,3740,1,124,15
139,3741,1,125,15
140,3739,1,123,15
141,3738,1,122,15
142,3735,1,119,15
143,3742,1,126,15
144,3736,1,120,15
145,3737,1,121,15
146,3743,1,127,15
147,3664,1,48,15
148,3665,1,49,15
149,3666,1,50,15
150,3663,1,47,15
151,3667,1,51,15
152,3662,1,46,15
153,3661,1,45,15
154,3653,1,37,15
155,3658,1,42,15
156,3659,1,43,15
157,3660,1,44,15
158,3654,1,38,15
159,3655,1,39,15
160,3656,1,40,15
161,3657,1,41,15
162,3960,1,118,16
163,3961,1,119,16
164,3962,1,120,16
165,3963,1,121,16
166,3964,1,122,16
167,3965,1,123,16
168,3967,1,125,16
169,3966,1,124,16
170,3970,1,128,16
171,3959,1,117,16
172,3969,1,127,16
173,3952,1,110,16
174,3968,1,126,16
175,3958,1,116,16
176,3953,1,111,16
177,3954,1,112,16
178,3957,1,115,16
179,3955,1,113,16
180,3956,1,114,16
181,3890,1,48,16
182,3891,1,49,16
183,3889,1,47,16
184,3892,1,50,16
185,3893,1,51,16
186,3877,1,35,16
187,3879,1,37,16
188,3878,1,36,16
189,3883,1,41,16
190,3886,1,44,16
191,3884,1,42,16
192,3880,1,38,16
193,3882,1,40,16
194,3887,1,45,16
195,3881,1,39,16
196,3885,1,43,16
197,3888,1,46,16
198,4180,1,112,17
199,4172,1,104,17
200,4192,1,124,17
201,4187,1,119,17
202,4195,1,127,17
203,4191,1,123,17
204,4178,1,110,17
205,4176,1,108,17
206,4173,1,105,17
207,4194,1,126,17
208,4188,1,120,17
209,4171,1,103,17
210,4196,1,128,17
211,4179,1,111,17
212,4181,1,113,17
213,4189,1,121,17
214,4175,1,107,17
215,4190,1,122,17
216,4193,1,125,17
217,4177,1,109,17
218,4169,1,101,17
219,4174,1,106,17
220,4170,1,102,17
221,4186,1,118,17
222,4184,1,116,17
223,4185,1,117,17
224,4182,1,114,17
225,4183,1,115,17
226,4118,1,50,17
227,4115,1,47,17
228,4116,1,48,17
229,4117,1,49,17
230,4119,1,51,17
231,4102,1,34,17
232,4101,1,33,17
233,4103,1,35,17
234,4104,1,36,17
235,4105,1,37,17
236,4107,1,39,17
237,4112,1,44,17
238,4111,1,43,17
239,4109,1,41,17
240,4114,1,46,17
241,4106,1,38,17
242,4110,1,42,17
243,4108,1,40,17
244,4113,1,45,17
245,4395,1,101,18
246,4416,1,122,18
247,4417,1,123,18
248,4411,1,117,18
249,4412,1,118,18
250,4387,1,93,18
251,4388,1,94,18
252,4402,1,108,18
253,4398,1,104,18
254,4391,1,97,18
255,4392,1,98,18
256,4401,1,107,18
257,4410,1,116,18
258,4403,1,109,18
259,4400,1,106,18
260,4408,1,114,18
261,4407,1,113,18
262,4409,1,115,18
263,4397,1,103,18
264,4404,1,110,18
265,4415,1,121,18
266,4413,1,119,18
267,4405,1,111,18
268,4399,1,105,18
269,4420,1,126,18
270,4418,1,124,18
271,4390,1,96,18
272,4414,1,120,18
273,4419,1,125,18
274,4421,1,127,18
275,4422,1,128,18
276,4406,1,112,18
277,4396,1,102,18
278,4389,1,95,18
279,4393,1,99,18
280,4394,1,100,18
281,4343,1,49,18
282,4342,1,48,18
283,4327,1,33,18
284,4345,1,51,18
285,4331,1,37,18
286,4330,1,36,18
287,4344,1,50,18
288,4332,1,38,18
289,4328,1,34,18
290,4329,1,35,18
291,4338,1,44,18
292,4337,1,43,18
293,4336,1,42,18
294,4341,1,47,18
295,4334,1,40,18
296,4339,1,45,18
297,4335,1,41,18
298,4340,1,46,18
299,4333,1,39,18
300,4605,1,85,19
301,4606,1,86,19
302,4608,1,88,19
303,4610,1,90,19
304,4611,1,91,19
305,4607,1,87,19
306,4609,1,89,19
307,4612,1,92,19
308,4614,1,94,19
309,4628,1,108,19
310,4629,1,109,19
311,4631,1,111,19
312,4632,1,112,19
313,4633,1,113,19
314,4634,1,114,19
315,4635,1,115,19
316,4641,1,121,19
317,4630,1,110,19
318,4621,1,101,19
319,4613,1,93,19
