Cell ID,Long,Lat,Column,Row
499,145.734522,-16.972324,47,1
500,145.734792,-16.972324,48,1
495,145.733444,-16.972324,43,1
494,145.733175,-16.972324,42,1
496,145.733714,-16.972324,44,1
497,145.733983,-16.972324,45,1
498,145.734253,-16.972324,46,1
493,145.732905,-16.972324,41,1
728,145.735331,-16.972067,50,2
725,145.734522,-16.972067,47,2
727,145.735061,-16.972067,49,2
721,145.733444,-16.972067,43,2
720,145.733175,-16.972067,42,2
722,145.733714,-16.972067,44,2
726,145.734792,-16.972067,48,2
723,145.733983,-16.972067,45,2
724,145.734253,-16.972067,46,2
950,145.734253,-16.971809,46,3
954,145.735331,-16.971809,50,3
953,145.735061,-16.971809,49,3
951,145.734522,-16.971809,47,3
952,145.734792,-16.971809,48,3
948,145.733714,-16.971809,44,3
947,145.733444,-16.971809,43,3
949,145.733983,-16.971809,45,3
946,145.733175,-16.971809,42,3
1180,145.735331,-16.971551,50,4
1179,145.735061,-16.971551,49,4
1177,145.734522,-16.971551,47,4
1178,145.734792,-16.971551,48,4
1176,145.734253,-16.971551,46,4
1174,145.733714,-16.971551,44,4
1172,145.733175,-16.971551,42,4
1173,145.733444,-16.971551,43,4
1175,145.733983,-16.971551,45,4
1171,145.732905,-16.971551,41,4
1405,145.735061,-16.971293,49,5
1403,145.734522,-16.971293,47,5
1404,145.734792,-16.971293,48,5
1406,145.735331,-16.971293,50,5
1402,145.734253,-16.971293,46,5
1397,145.732905,-16.971293,41,5
1401,145.733983,-16.971293,45,5
1400,145.733714,-16.971293,44,5
1398,145.733175,-16.971293,42,5
1399,145.733444,-16.971293,43,5
1631,145.735061,-16.971036,49,6
1630,145.734792,-16.971036,48,6
1629,145.734522,-16.971036,47,6
1632,145.735331,-16.971036,50,6
1628,145.734253,-16.971036,46,6
1627,145.733983,-16.971036,45,6
1626,145.733714,-16.971036,44,6
1625,145.733444,-16.971036,43,6
1624,145.733175,-16.971036,42,6
1858,145.735331,-16.970778,50,7
1857,145.735061,-16.970778,49,7
1856,145.734792,-16.970778,48,7
1855,145.734522,-16.970778,47,7
1852,145.733714,-16.970778,44,7
1853,145.733983,-16.970778,45,7
1854,145.734253,-16.970778,46,7
1851,145.733444,-16.970778,43,7
2082,145.734792,-16.97052,48,8
2083,145.735061,-16.97052,49,8
2084,145.735331,-16.97052,50,8
2081,145.734522,-16.97052,47,8
2078,145.733714,-16.97052,44,8
2077,145.733444,-16.97052,43,8
2079,145.733983,-16.97052,45,8
2080,145.734253,-16.97052,46,8
2308,145.734792,-16.970262,48,9
2309,145.735061,-16.970262,49,9
2310,145.735331,-16.970262,50,9
2307,145.734522,-16.970262,47,9
2311,145.7356,-16.970262,51,9
2302,145.733175,-16.970262,42,9
2306,145.734253,-16.970262,46,9
2303,145.733444,-16.970262,43,9
2304,145.733714,-16.970262,44,9
2305,145.733983,-16.970262,45,9
2536,145.735331,-16.970005,50,10
2535,145.735061,-16.970005,49,10
2534,145.734792,-16.970005,48,10
2537,145.7356,-16.970005,51,10
2528,145.733175,-16.970005,42,10
2533,145.734522,-16.970005,47,10
2531,145.733983,-16.970005,45,10
2529,145.733444,-16.970005,43,10
2532,145.734253,-16.970005,46,10
2530,145.733714,-16.970005,44,10
2763,145.7356,-16.969747,51,11
2762,145.735331,-16.969747,50,11
2760,145.734792,-16.969747,48,11
2761,145.735061,-16.969747,49,11
2756,145.733714,-16.969747,44,11
2755,145.733444,-16.969747,43,11
2759,145.734522,-16.969747,47,11
2753,145.732905,-16.969747,41,11
2754,145.733175,-16.969747,42,11
2757,145.733983,-16.969747,45,11
2758,145.734253,-16.969747,46,11
2989,145.7356,-16.969489,51,12
2988,145.735331,-16.969489,50,12
2986,145.734792,-16.969489,48,12
2987,145.735061,-16.969489,49,12
2985,145.734522,-16.969489,47,12
2984,145.734253,-16.969489,46,12
2981,145.733444,-16.969489,43,12
2982,145.733714,-16.969489,44,12
2983,145.733983,-16.969489,45,12
2980,145.733175,-16.969489,42,12
2979,145.732905,-16.969489,41,12
3212,145.734792,-16.969231,48,13
3214,145.735331,-16.969231,50,13
3213,145.735061,-16.969231,49,13
3215,145.7356,-16.969231,51,13
3205,145.732905,-16.969231,41,13
3209,145.733983,-16.969231,45,13
3208,145.733714,-16.969231,44,13
3206,145.733175,-16.969231,42,13
3210,145.734253,-16.969231,46,13
3211,145.734522,-16.969231,47,13
3207,145.733444,-16.969231,43,13
3438,145.734792,-16.968974,48,14
3439,145.735061,-16.968974,49,14
3441,145.7356,-16.968974,51,14
3437,145.734522,-16.968974,47,14
3440,145.735331,-16.968974,50,14
3434,145.733714,-16.968974,44,14
3433,145.733444,-16.968974,43,14
3436,145.734253,-16.968974,46,14
3435,145.733983,-16.968974,45,14
3432,145.733175,-16.968974,42,14
3428,145.732097,-16.968974,38,14
3429,145.732366,-16.968974,39,14
3431,145.732905,-16.968974,41,14
3430,145.732636,-16.968974,40,14
3740,145.755273,-16.968716,124,15
3741,145.755543,-16.968716,125,15
3739,145.755004,-16.968716,123,15
3738,145.754734,-16.968716,122,15
3735,145.753926,-16.968716,119,15
3742,145.755812,-16.968716,126,15
3736,145.754195,-16.968716,120,15
3737,145.754465,-16.968716,121,15
3743,145.756082,-16.968716,127,15
3664,145.734792,-16.968716,48,15
3665,145.735061,-16.968716,49,15
3666,145.735331,-16.968716,50,15
3663,145.734522,-16.968716,47,15
3667,145.7356,-16.968716,51,15
3662,145.734253,-16.968716,46,15
3661,145.733983,-16.968716,45,15
3653,145.731827,-16.968716,37,15
3658,145.733175,-16.968716,42,15
3659,145.733444,-16.968716,43,15
3660,145.733714,-16.968716,44,15
3654,145.732097,-16.968716,38,15
3655,145.732366,-16.968716,39,15
3656,145.732636,-16.968716,40,15
3657,145.732905,-16.968716,41,15
3960,145.753656,-16.968458,118,16
3961,145.753926,-16.968458,119,16
3962,145.754195,-16.968458,120,16
3963,145.754465,-16.968458,121,16
3964,145.754734,-16.968458,122,16
3965,145.755004,-16.968458,123,16
3967,145.755543,-16.968458,125,16
3966,145.755273,-16.968458,124,16
3970,145.756351,-16.968458,128,16
3959,145.753387,-16.968458,117,16
3969,145.756082,-16.968458,127,16
3952,145.7515,-16.968458,110,16
3968,145.755812,-16.968458,126,16
3958,145.753117,-16.968458,116,16
3953,145.75177,-16.968458,111,16
3954,145.752039,-16.968458,112,16
3957,145.752848,-16.968458,115,16
3955,145.752309,-16.968458,113,16
3956,145.752578,-16.968458,114,16
3890,145.734792,-16.968458,48,16
3891,145.735061,-16.968458,49,16
3889,145.734522,-16.968458,47,16
3892,145.735331,-16.968458,50,16
3893,145.7356,-16.968458,51,16
3877,145.731288,-16.968458,35,16
3879,145.731827,-16.968458,37,16
3878,145.731558,-16.968458,36,16
3883,145.732905,-16.968458,41,16
3886,145.733714,-16.968458,44,16
3884,145.733175,-16.968458,42,16
3880,145.732097,-16.968458,38,16
3882,145.732636,-16.968458,40,16
3887,145.733983,-16.968458,45,16
3881,145.732366,-16.968458,39,16
3885,145.733444,-16.968458,43,16
3888,145.734253,-16.968458,46,16
4180,145.752039,-16.9682,112,17
4172,145.749883,-16.9682,104,17
4192,145.755273,-16.9682,124,17
4187,145.753926,-16.9682,119,17
4195,145.756082,-16.9682,127,17
4191,145.755004,-16.9682,123,17
4178,145.7515,-16.9682,110,17
4176,145.750961,-16.9682,108,17
4173,145.750153,-16.9682,105,17
4194,145.755812,-16.9682,126,17
4188,145.754195,-16.9682,120,17
4171,145.749614,-16.9682,103,17
4196,145.756351,-16.9682,128,17
4179,145.75177,-16.9682,111,17
4181,145.752309,-16.9682,113,17
4189,145.754465,-16.9682,121,17
4175,145.750692,-16.9682,107,17
4190,145.754734,-16.9682,122,17
4193,145.755543,-16.9682,125,17
4177,145.751231,-16.9682,109,17
4169,145.749075,-16.9682,101,17
4174,145.750422,-16.9682,106,17
4170,145.749344,-16.9682,102,17
4186,145.753656,-16.9682,118,17
4184,145.753117,-16.9682,116,17
4185,145.753387,-16.9682,117,17
4182,145.752578,-16.9682,114,17
4183,145.752848,-16.9682,115,17
4118,145.735331,-16.9682,50,17
4115,145.734522,-16.9682,47,17
4116,145.734792,-16.9682,48,17
4117,145.735061,-16.9682,49,17
4119,145.7356,-16.9682,51,17
4102,145.731019,-16.9682,34,17
4101,145.730749,-16.9682,33,17
4103,145.731288,-16.9682,35,17
4104,145.731558,-16.9682,36,17
4105,145.731827,-16.9682,37,17
4107,145.732366,-16.9682,39,17
4112,145.733714,-16.9682,44,17
4111,145.733444,-16.9682,43,17
4109,145.732905,-16.9682,41,17
4114,145.734253,-16.9682,46,17
4106,145.732097,-16.9682,38,17
4110,145.733175,-16.9682,42,17
4108,145.732636,-16.9682,40,17
4113,145.733983,-16.9682,45,17
4395,145.749075,-16.967943,101,18
4416,145.754734,-16.967943,122,18
4417,145.755004,-16.967943,123,18
4411,145.753387,-16.967943,117,18
4412,145.753656,-16.967943,118,18
4387,145.746919,-16.967943,93,18
4388,145.747188,-16.967943,94,18
4402,145.750961,-16.967943,108,18
4398,145.749883,-16.967943,104,18
4391,145.747997,-16.967943,97,18
4392,145.748266,-16.967943,98,18
4401,145.750692,-16.967943,107,18
4410,145.753117,-16.967943,116,18
4403,145.751231,-16.967943,109,18
4400,145.750422,-16.967943,106,18
4408,145.752578,-16.967943,114,18
4407,145.752309,-16.967943,113,18
4409,145.752848,-16.967943,115,18
4397,145.749614,-16.967943,103,18
4404,145.7515,-16.967943,110,18
4415,145.754465,-16.967943,121,18
4413,145.753926,-16.967943,119,18
4405,145.75177,-16.967943,111,18
4399,145.750153,-16.967943,105,18
4420,145.755812,-16.967943,126,18
4418,145.755273,-16.967943,124,18
4390,145.747727,-16.967943,96,18
4414,145.754195,-16.967943,120,18
4419,145.755543,-16.967943,125,18
4421,145.756082,-16.967943,127,18
4422,145.756351,-16.967943,128,18
4406,145.752039,-16.967943,112,18
4396,145.749344,-16.967943,102,18
4389,145.747458,-16.967943,95,18
4393,145.748536,-16.967943,99,18
4394,145.748805,-16.967943,100,18
4343,145.735061,-16.967943,49,18
4342,145.734792,-16.967943,48,18
4327,145.730749,-16.967943,33,18
4345,145.7356,-16.967943,51,18
4331,145.731827,-16.967943,37,18
4330,145.731558,-16.967943,36,18
4344,145.735331,-16.967943,50,18
4332,145.732097,-16.967943,38,18
4328,145.731019,-16.967943,34,18
4329,145.731288,-16.967943,35,18
4338,145.733714,-16.967943,44,18
4337,145.733444,-16.967943,43,18
4336,145.733175,-16.967943,42,18
4341,145.734522,-16.967943,47,18
4334,145.732636,-16.967943,40,18
4339,145.733983,-16.967943,45,18
4335,145.732905,-16.967943,41,18
4340,145.734253,-16.967943,46,18
4333,145.732366,-16.967943,39,18
4605,145.744763,-16.967685,85,19
4606,145.745032,-16.967685,86,19
4608,145.745571,-16.967685,88,19
4610,145.74611,-16.967685,90,19
4611,145.74638,-16.967685,91,19
4607,145.745302,-16.967685,87,19
4609,145.745841,-16.967685,89,19
4612,145.746649,-16.967685,92,19
4614,145.747188,-16.967685,94,19
4628,145.750961,-16.967685,108,19
4629,145.751231,-16.967685,109,19
4631,145.75177,-16.967685,111,19
4632,145.752039,-16.967685,112,19
4633,145.752309,-16.967685,113,19
4634,145.752578,-16.967685,114,19
4635,145.752848,-16.967685,115,19
4641,145.754465,-16.967685,121,19
4630,145.7515,-16.967685,110,19
4621,145.749075,-16.967685,101,19
4613,145.746919,-16.967685,93,19
4642,145.754734,-16.967685,122,19
4624,145.749883,-16.967685,104,19
4636,145.753117,-16.967685,116,19
4622,145.749344,-16.967685,102,19
4640,145.754195,-16.967685,120,19
4625,145.750153,-16.967685,105,19
4615,145.747458,-16.967685,95,19
4644,145.755273,-16.967685,124,19
4639,145.753926,-16.967685,119,19
4627,145.750692,-16.967685,107,19
4643,145.755004,-16.967685,123,19
4619,145.748536,-16.967685,99,19
4638,145.753656,-16.967685,118,19
4645,145.755543,-16.967685,125,19
4626,145.750422,-16.967685,106,19
4646,145.755812,-16.967685,126,19
4623,145.749614,-16.967685,103,19
4617,145.747997,-16.967685,97,19
4637,145.753387,-16.967685,117,19
4648,145.756351,-16.967685,128,19
4647,145.756082,-16.967685,127,19
4618,145.748266,-16.967685,98,19
4616,145.747727,-16.967685,96,19
4620,145.748805,-16.967685,100,19
4568,145.734792,-16.967685,48,19
4569,145.735061,-16.967685,49,19
4553,145.730749,-16.967685,33,19
4554,145.731019,-16.967685,34,19
4555,145.731288,-16.967685,35,19
4559,145.732366,-16.967685,39,19
4571,145.7356,-16.967685,51,19
4570,145.735331,-16.967685,50,19
4557,145.731827,-16.967685,37,19
4558,145.732097,-16.967685,38,19
4556,145.731558,-16.967685,36,19
4560,145.732636,-16.967685,40,19
4563,145.733444,-16.967685,43,19
4567,145.734522,-16.967685,47,19
4561,145.732905,-16.967685,41,19
4564,145.733714,-16.967685,44,19
4566,145.734253,-16.967685,46,19
4562,145.733175,-16.967685,42,19
4565,145.733983,-16.967685,45,19
4819,145.741529,-16.967427,73,20
4820,145.741798,-16.967427,74,20
4821,145.742068,-16.967427,75,20
4824,145.742876,-16.967427,78,20
4823,145.742607,-16.967427,77,20
4822,145.742337,-16.967427,76,20
4825,145.743146,-16.967427,79,20
4834,145.745571,-16.967427,88,20
4830,145.744493,-16.967427,84,20
4829,145.744224,-16.967427,83,20
4828,145.743954,-16.967427,82,20
4832,145.745032,-16.967427,86,20
4831,145.744763,-16.967427,85,20
4833,145.745302,-16.967427,87,20
4835,145.745841,-16.967427,89,20
4836,145.74611,-16.967427,90,20
4837,145.74638,-16.967427,91,20
4826,145.743415,-16.967427,80,20
4827,145.743685,-16.967427,81,20
4860,145.752578,-16.967427,114,20
4861,145.752848,-16.967427,115,20
4862,145.753117,-16.967427,116,20
4865,145.753926,-16.967427,119,20
4852,145.750422,-16.967427,106,20
4848,145.749344,-16.967427,102,20
4866,145.754195,-16.967427,120,20
4839,145.746919,-16.967427,93,20
4840,145.747188,-16.967427,94,20
4851,145.750153,-16.967427,105,20
4853,145.750692,-16.967427,107,20
4855,145.751231,-16.967427,109,20
4858,145.752039,-16.967427,112,20
4841,145.747458,-16.967427,95,20
4854,145.750961,-16.967427,108,20
4856,145.7515,-16.967427,110,20
4857,145.75177,-16.967427,111,20
4838,145.746649,-16.967427,92,20
4859,145.752309,-16.967427,113,20
4864,145.753656,-16.967427,118,20
4867,145.754465,-16.967427,121,20
4872,145.755812,-16.967427,126,20
4863,145.753387,-16.967427,117,20
4871,145.755543,-16.967427,125,20
4847,145.749075,-16.967427,101,20
4870,145.755273,-16.967427,124,20
4868,145.754734,-16.967427,122,20
4873,145.756082,-16.967427,127,20
4850,145.749883,-16.967427,104,20
4874,145.756351,-16.967427,128,20
4845,145.748536,-16.967427,99,20
4869,145.755004,-16.967427,123,20
4849,145.749614,-16.967427,103,20
4842,145.747727,-16.967427,96,20
4846,145.748805,-16.967427,100,20
4843,145.747997,-16.967427,97,20
4844,145.748266,-16.967427,98,20
4796,145.735331,-16.967427,50,20
4780,145.731019,-16.967427,34,20
4795,145.735061,-16.967427,49,20
4785,145.732366,-16.967427,39,20
4786,145.732636,-16.967427,40,20
4782,145.731558,-16.967427,36,20
4783,145.731827,-16.967427,37,20
4797,145.7356,-16.967427,51,20
4784,145.732097,-16.967427,38,20
4779,145.730749,-16.967427,33,20
4781,145.731288,-16.967427,35,20
4794,145.734792,-16.967427,48,20
4793,145.734522,-16.967427,47,20
4789,145.733444,-16.967427,43,20
4788,145.733175,-16.967427,42,20
4790,145.733714,-16.967427,44,20
4787,145.732905,-16.967427,41,20
4791,145.733983,-16.967427,45,20
4792,145.734253,-16.967427,46,20
5045,145.741529,-16.967169,73,21
5046,145.741798,-16.967169,74,21
5051,145.743146,-16.967169,79,21
5048,145.742337,-16.967169,76,21
5047,145.742068,-16.967169,75,21
5049,145.742607,-16.967169,77,21
5050,145.742876,-16.967169,78,21
5044,145.741259,-16.967169,72,21
5043,145.74099,-16.967169,71,21
5060,145.745571,-16.967169,88,21
5058,145.745032,-16.967169,86,21
5059,145.745302,-16.967169,87,21
5056,145.744493,-16.967169,84,21
5055,145.744224,-16.967169,83,21
5057,145.744763,-16.967169,85,21
5054,145.743954,-16.967169,82,21
5061,145.745841,-16.967169,89,21
5062,145.74611,-16.967169,90,21
5063,145.74638,-16.967169,91,21
5052,145.743415,-16.967169,80,21
5053,145.743685,-16.967169,81,21
5074,145.749344,-16.967169,102,21
5079,145.750692,-16.967169,107,21
5080,145.750961,-16.967169,108,21
5091,145.753926,-16.967169,119,21
5089,145.753387,-16.967169,117,21
5066,145.747188,-16.967169,94,21
5087,145.752848,-16.967169,115,21
5088,145.753117,-16.967169,116,21
5090,145.753656,-16.967169,118,21
5092,145.754195,-16.967169,120,21
5065,145.746919,-16.967169,93,21
5075,145.749614,-16.967169,103,21
5099,145.756082,-16.967169,127,21
5086,145.752578,-16.967169,114,21
5078,145.750422,-16.967169,106,21
5067,145.747458,-16.967169,95,21
5081,145.751231,-16.967169,109,21
5098,145.755812,-16.967169,126,21
5083,145.75177,-16.967169,111,21
5085,145.752309,-16.967169,113,21
5084,145.752039,-16.967169,112,21
5082,145.7515,-16.967169,110,21
5077,145.750153,-16.967169,105,21
5073,145.749075,-16.967169,101,21
5097,145.755543,-16.967169,125,21
5100,145.756351,-16.967169,128,21
5071,145.748536,-16.967169,99,21
5094,145.754734,-16.967169,122,21
5093,145.754465,-16.967169,121,21
5096,145.755273,-16.967169,124,21
5095,145.755004,-16.967169,123,21
5076,145.749883,-16.967169,104,21
5064,145.746649,-16.967169,92,21
5069,145.747997,-16.967169,97,21
5072,145.748805,-16.967169,100,21
5068,145.747727,-16.967169,96,21
5070,145.748266,-16.967169,98,21
5041,145.740451,-16.967169,69,21
5040,145.740181,-16.967169,68,21
5038,145.739642,-16.967169,66,21
5039,145.739912,-16.967169,67,21
5037,145.739373,-16.967169,65,21
5042,145.74072,-16.967169,70,21
5008,145.731558,-16.967169,36,21
5022,145.735331,-16.967169,50,21
5013,145.732905,-16.967169,41,21
5007,145.731288,-16.967169,35,21
5005,145.730749,-16.967169,33,21
5021,145.735061,-16.967169,49,21
5009,145.731827,-16.967169,37,21
5006,145.731019,-16.967169,34,21
5011,145.732366,-16.967169,39,21
5004,145.73048,-16.967169,32,21
5010,145.732097,-16.967169,38,21
5012,145.732636,-16.967169,40,21
5023,145.7356,-16.967169,51,21
5014,145.733175,-16.967169,42,21
5015,145.733444,-16.967169,43,21
5020,145.734792,-16.967169,48,21
5019,145.734522,-16.967169,47,21
5016,145.733714,-16.967169,44,21
5017,145.733983,-16.967169,45,21
5018,145.734253,-16.967169,46,21
5277,145.743146,-16.966912,79,22
5276,145.742876,-16.966912,78,22
5275,145.742607,-16.966912,77,22
5273,145.742068,-16.966912,75,22
5272,145.741798,-16.966912,74,22
5274,145.742337,-16.966912,76,22
5271,145.741529,-16.966912,73,22
5270,145.741259,-16.966912,72,22
5269,145.74099,-16.966912,71,22
5283,145.744763,-16.966912,85,22
5286,145.745571,-16.966912,88,22
5284,145.745032,-16.966912,86,22
5285,145.745302,-16.966912,87,22
5281,145.744224,-16.966912,83,22
5282,145.744493,-16.966912,84,22
5287,145.745841,-16.966912,89,22
5280,145.743954,-16.966912,82,22
5288,145.74611,-16.966912,90,22
5290,145.746649,-16.966912,92,22
5289,145.74638,-16.966912,91,22
5278,145.743415,-16.966912,80,22
5279,145.743685,-16.966912,81,22
5325,145.756082,-16.966912,127,22
5324,145.755812,-16.966912,126,22
5301,145.749614,-16.966912,103,22
5309,145.75177,-16.966912,111,22
5310,145.752039,-16.966912,112,22
5311,145.752309,-16.966912,113,22
5312,145.752578,-16.966912,114,22
5317,145.753926,-16.966912,119,22
5318,145.754195,-16.966912,120,22
5300,145.749344,-16.966912,102,22
5306,145.750961,-16.966912,108,22
5292,145.747188,-16.966912,94,22
5305,145.750692,-16.966912,107,22
5319,145.754465,-16.966912,121,22
5297,145.748536,-16.966912,99,22
5326,145.756351,-16.966912,128,22
5316,145.753656,-16.966912,118,22
5302,145.749883,-16.966912,104,22
5295,145.747997,-16.966912,97,22
5320,145.754734,-16.966912,122,22
5313,145.752848,-16.966912,115,22
5314,145.753117,-16.966912,116,22
5293,145.747458,-16.966912,95,22
5315,145.753387,-16.966912,117,22
5321,145.755004,-16.966912,123,22
5322,145.755273,-16.966912,124,22
5291,145.746919,-16.966912,93,22
5299,145.749075,-16.966912,101,22
5323,145.755543,-16.966912,125,22
5304,145.750422,-16.966912,106,22
5296,145.748266,-16.966912,98,22
5303,145.750153,-16.966912,105,22
5298,145.748805,-16.966912,100,22
5308,145.7515,-16.966912,110,22
5307,145.751231,-16.966912,109,22
5294,145.747727,-16.966912,96,22
5266,145.740181,-16.966912,68,22
5268,145.74072,-16.966912,70,22
5258,145.738025,-16.966912,60,22
5267,145.740451,-16.966912,69,22
5259,145.738295,-16.966912,61,22
5260,145.738564,-16.966912,62,22
5261,145.738834,-16.966912,63,22
5265,145.739912,-16.966912,67,22
5264,145.739642,-16.966912,66,22
5262,145.739103,-16.966912,64,22
5263,145.739373,-16.966912,65,22
5248,145.735331,-16.966912,50,22
5247,145.735061,-16.966912,49,22
5249,145.7356,-16.966912,51,22
5229,145.73021,-16.966912,31,22
5240,145.733175,-16.966912,42,22
5237,145.732366,-16.966912,39,22
5234,145.731558,-16.966912,36,22
5238,145.732636,-16.966912,40,22
5233,145.731288,-16.966912,35,22
5235,145.731827,-16.966912,37,22
5230,145.73048,-16.966912,32,22
5232,145.731019,-16.966912,34,22
5236,145.732097,-16.966912,38,22
5239,145.732905,-16.966912,41,22
5231,145.730749,-16.966912,33,22
5242,145.733714,-16.966912,44,22
5244,145.734253,-16.966912,46,22
5243,145.733983,-16.966912,45,22
5241,145.733444,-16.966912,43,22
5245,145.734522,-16.966912,47,22
5246,145.734792,-16.966912,48,22
5502,145.742876,-16.966654,78,23
5501,145.742607,-16.966654,77,23
5497,145.741529,-16.966654,73,23
5499,145.742068,-16.966654,75,23
5503,145.743146,-16.966654,79,23
5500,145.742337,-16.966654,76,23
5498,145.741798,-16.966654,74,23
5496,145.741259,-16.966654,72,23
5495,145.74099,-16.966654,71,23
5507,145.744224,-16.966654,83,23
5509,145.744763,-16.966654,85,23
5508,145.744493,-16.966654,84,23
5511,145.745302,-16.966654,87,23
5506,145.743954,-16.966654,82,23
5514,145.74611,-16.966654,90,23
5512,145.745571,-16.966654,88,23
5510,145.745032,-16.966654,86,23
5515,145.74638,-16.966654,91,23
5513,145.745841,-16.966654,89,23
5516,145.746649,-16.966654,92,23
5504,145.743415,-16.966654,80,23
5505,145.743685,-16.966654,81,23
5550,145.755812,-16.966654,126,23
5527,145.749614,-16.966654,103,23
5528,145.749883,-16.966654,104,23
5532,145.750961,-16.966654,108,23
5538,145.752578,-16.966654,114,23
5537,145.752309,-16.966654,113,23
5518,145.747188,-16.966654,94,23
5523,145.748536,-16.966654,99,23
5542,145.753656,-16.966654,118,23
5548,145.755273,-16.966654,124,23
5524,145.748805,-16.966654,100,23
5530,145.750422,-16.966654,106,23
5546,145.754734,-16.966654,122,23
5549,145.755543,-16.966654,125,23
5536,145.752039,-16.966654,112,23
5525,145.749075,-16.966654,101,23
5547,145.755004,-16.966654,123,23
5551,145.756082,-16.966654,127,23
5531,145.750692,-16.966654,107,23
5533,145.751231,-16.966654,109,23
5543,145.753926,-16.966654,119,23
5529,145.750153,-16.966654,105,23
5552,145.756351,-16.966654,128,23
5522,145.748266,-16.966654,98,23
5519,145.747458,-16.966654,95,23
5545,145.754465,-16.966654,121,23
5539,145.752848,-16.966654,115,23
5541,145.753387,-16.966654,117,23
5521,145.747997,-16.966654,97,23
5540,145.753117,-16.966654,116,23
5526,145.749344,-16.966654,102,23
5544,145.754195,-16.966654,120,23
5517,145.746919,-16.966654,93,23
5535,145.75177,-16.966654,111,23
5520,145.747727,-16.966654,96,23
